ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
938,"Completeness in the Boolean Hierarchy: Exact-Four-Colorability, Minimal Graph Uncolorability, and Exact Domatic Number Problems - a Survey","Boolean hierarchy,completeness,exact colorability,exact domatic number,minimal uncolorability",['F'],exact domatic number problems,exact domatic number,exact domatic number problems exact domatic number
939,Pervasive Health Management and Health Management Utilizing Pervasive Technologies : Synergy and Issues,"health,pervasive technology,human information processing,societal issues,portable devices,expert systems",['C' 'H' 'I' 'J' 'K'],health management utilizing pervasive technologies,human information processing,health management utilizing pervasive technologies human information processing
940,Health Monitoring and Assistance to Support Aging in Place,"multiagent systems,artificial intelligence,smart environments",['I'],health monitoring,multiagent systems,health monitoring multiagent systems
941,A New System Dedicated to Real-time Cardiac Arrhythmias Tele-assistance and Monitoring,"real-time telemedicine,wireless ECG sensor,cardiac arrhythmias,automatic ECG diagnosis,embedded micro-kernel",['C' 'H' 'J'],real-time cardiac arrhythmias tele-assistance,wireless ecg sensor,real-time cardiac arrhythmias tele-assistance wireless ecg sensor
942,CAMMD: Context-Aware Mobile Medical Devices,"telemedicine,mobile devices,context-aware computing,agent technology",['H' 'I'],context-aware mobile medical devices,mobile devices,context-aware mobile medical devices mobile devices
943,The Impact of Behavioral Monitoring Technology on the Provision of Health Care in the Home,"smart-home technology,telemedicine,behavioral monitoring,care provision,web-based services",['J' 'K'],behavioral monitoring technology,smart-home technology,behavioral monitoring technology smart-home technology
944,A Collaborative Biomedical Research System,"cancer,computerized patient records,natural language processing,bioinformatics,privacy,confidentiality,security,electronic health records",['H' 'I' 'J' 'K'],collaborative biomedical research system,computerized patient records,collaborative biomedical research system computerized patient records
945,A Pervasive Multimodal Tele-Home Healthcare System,"pervasive computing,home healthcare,agent,Jini",['H' 'J'],pervasive multimodal tele-home healthcare system,pervasive computing,pervasive multimodal tele-home healthcare system pervasive computing
948,Quality of Privacy (QoP) for the Design of Ubiquitous Healthcare Applications,"quality of privacy,ubiquitous computing,privacy-aware computing,ubiquitous healthcare",['H' 'K'],ubiquitous healthcare applications,ubiquitous computing,ubiquitous healthcare applications ubiquitous computing
949,Visualization Services in a Conference Context: An Approach by RFID Technology,"ubiquitous computing,context aware,RFID,implicit interaction,visualization,information mosaics",['F' 'H'],visualization services,ubiquitous computing,visualization services ubiquitous computing
950,A Mechanism for Solving Conflicts in Ambient Intelligent Environments,"intelligent environments,ambience intelligence,context awareness,privacy",['H'],ambient intelligent environments,intelligent environments,ambient intelligent environments intelligent environments
951,EMIlets: A Reflective Framework for Enabling AmI,"ambient intelligence,pervasive computing,middleware,smart spaces",['C' 'D'],reflective framework,ambient intelligence,reflective framework ambient intelligence
953,A Modular Architecture for Nodes in Wireless Sensor Networks,"wireless sensor networks,modular architecture,sensor network node,hardware node design",['B'],wireless sensor networks,wireless sensor networks,wireless sensor networks wireless sensor networks
954,Development of Ambient Intelligence Applications using Components and Aspects,"aspects,middleware,components,ambient intelligence,pervasive computing",['D'],ambient intelligence applications,ambient intelligence,ambient intelligence applications ambient intelligence
955,Information and Hybrid Architecture Model of the OCP Contextual Information Management System,"context-awareness,semantic web,decision rules,hybrid architecture,information merging",['C' 'H' 'I' 'J' 'K'],ocp contextual information management system,semantic web,ocp contextual information management system semantic web
957,Secure Service Discovery based on Trust Management for ad-hoc Networks,"ad-hoc networks,service discovery protocol,security,trust",['C'],secure service discovery based,service discovery protocol,secure service discovery based service discovery protocol
958,Restricting the View and Connecting the Dots Dangers of a Web Search Engine Monopoly,"Web mining,search engines and information retrieval,social issues",['H' 'I' 'K'],web search engine monopoly,web mining,web search engine monopoly web mining
959,Modeling Inheritance as Coercion in the Kenzo System,"algebraic specification,symbolic computation,inheritance,coercion",['F'],modeling inheritance,algebraic specification,modeling inheritance algebraic specification
960,A Formal Architectural Description Language based on Symbolic Transition Systems and Temporal Logic,"architectural description language,component based software engineering,mixed formal specifications,symbolic transition system,temporal logic glue,abstract data types,graphical notations",['D'],formal architectural description language based,component based software engineering,formal architectural description language based component based software engineering
961,Persian/Arabic Baffletext CAPTCHA,"completely automated public Turing test to tell computers and human apart (CAPTCHA),Persian and Arabic text,BaffleText,optical character recognition (OCR),internet security",['I'],persian/arabic baffletext captcha,completely automated public turing test,persian/arabic baffletext captcha completely automated public turing test
963,The Design of the YAP Compiler: An Optimizing Compiler for Logic Programming Languages,"dynamic compilation,Just-in-Time compiler,compiler optimizations",['C' 'D'],logic programming languages,dynamic compilation,logic programming languages dynamic compilation
964,Generic Process Algebra: A Programming Challenge,"Process Algebra,coinduction,coalgebra",['D' 'F'],generic process algebra,process algebra,generic process algebra process algebra
965,Our Experiences with Optimizations in Sun's Java Just-In-Time Compilers,"Dynamic compilation,Just-in-Time compiler,compiler optimizations",['C' 'D'],java just-in-time compilers,dynamic compilation,java just-in-time compilers dynamic compilation
966,Detecting Bad Smells in AspectJ,"aspect oriented software development,AspectJ language,,refactoring",['D'],detecting bad smells,aspect oriented software development,detecting bad smells aspect oriented software development
967,Program Slicing by Calculation,"program slicing,functional programming,program analysis",['D' 'I'],program slicing,program slicing,program slicing program slicing
968,The Language of the Visitor Design Pattern,"context free grammar,visitor pattern,visitor language,method invocation sequence,essential aspect",['D' 'F'],visitor design pattern,context free grammar,visitor design pattern context free grammar
969,Strong Mobility in Mobile Haskell,"mobile computation,strong mobility,functional programming,Haskell",['D'],strong mobility,mobile computation,strong mobility mobile computation
970,An Object Model for Interoperable Systems,"object model,interoperability,virtual machine",['C' 'D'],object model,object model,object model object model
